date,All-count,Conservative-count,Progressive-count,All-total_count,Conservative-total_count,Progressive-total_count,All-ratio,Conservative-ratio,Progressive-ratio
"2019-06-21","25","23","2","33895","11880","12618","0.000737571913261543","0.001936026936026936","0.0001585037248375337"
"2019-06-22","5","5","0","18472","7015","6361","0.00027067994802945","0.0007127583749109052","0"
"2019-06-23","18","16","0","25522","9417","8272","0.0007052738813572604","0.0016990549007114793","0"
"2019-06-24","23","20","2","36487","12835","13175","0.0006303614986159454","0.0015582391897156214","0.00015180265654648957"
"2019-06-25","14","13","1","35748","13550","13028","0.0003916303009958599","0.000959409594095941","7.675775253300584e-05"
"2019-06-26","26","21","3","37215","13123","13616","0.0006986430202875185","0.0016002438466813991","0.00022032902467685077"
"2019-06-27","31","25","4","37057","13269","14028","0.000836549100035081","0.0018840907378099329","0.00028514399771884804"
"2019-06-28","28","19","5","34685","12030","12868","0.0008072653884964682","0.0015793848711554447","0.0003885607709045695"
"2019-06-29","4","4","0","21473","7878","7049","0.00018628044521026404","0.0005077430820005078","0"
"2019-06-30","10","6","4","21948","7942","7259","0.000455622380171314","0.0007554772097708386","0.0005510400881664141"
"2019-07-01","48","23","18","34849","12780","12091","0.0013773709432121437","0.0017996870109546167","0.001488710611198412"
"2019-07-02","13","10","3","35332","12692","12467","0.0003679384127702932","0.000787897888433659","0.0002406352771316275"
"2019-07-03","16","14","2","34202","11978","12689","0.00046780890006432375","0.0011688094840540991","0.00015761683347781543"
"2019-07-04","6","4","2","25253","9028","8926","0.00023759553320397577","0.00044306601683650863","0.00022406453058480843"
"2019-07-05","19","19","0","27796","10050","9869","0.0006835515901568571","0.001890547263681592","0"
"2019-07-06","9","8","0","21582","7714","7210","0.0004170141784820684","0.0010370754472387865","0"
"2019-07-07","8","4","2","21436","7964","7197","0.0003732039559619332","0.0005022601707684581","0.00027789356676392944"
"2019-07-08","18","13","5","35813","13064","12393","0.0005026107837935945","0.0009951010410287815","0.0004034535624949568"
"2019-07-09","17","15","2","40832","15282","14622","0.00041634012539184953","0.0009815469179426776","0.0001367801942278758"
"2019-07-10","15","14","1","36433","13058","13326","0.00041171465429692863","0.0010721396844846072","7.504127269998499e-05"
"2019-07-11","15","13","1","39064","14247","14208","0.0003839852549662093","0.0009124728012915","7.038288288288288e-05"
"2019-07-12","31","24","5","38286","14010","13531","0.000809695450033955","0.0017130620985010706","0.00036952183874066957"
"2019-07-13","25","16","5","20390","7211","6944","0.0012260912211868563","0.002218832339481348","0.0007200460829493088"
"2019-07-14","16","13","2","19807","6859","6742","0.0008077952239107386","0.0018953200174952618","0.0002966478789676654"
"2019-07-15","34","33","0","35828","12581","13069","0.0009489784526068996","0.0026230029409426915","0"
"2019-07-16","47","36","8","36675","13188","13126","0.0012815269256987048","0.00272975432211101","0.0006094773731525217"
"2019-07-17","20","13","5","41027","14785","14053","0.0004874838520973993","0.0008792695299289821","0.0003557959154628905"
"2019-07-18","26","18","7","34491","12163","12467","0.000753819837058943","0.0014798980514675656","0.0005614823133071309"
"2019-07-19","10","8","1","31443","10656","11522","0.0003180358108322997","0.0007507507507507507","8.679048776254123e-05"
"2019-07-20","11","10","1","19755","6569","6722","0.0005568210579600102","0.0015223017202009438","0.0001487652484379649"
